lat,lon,date,AQI,level
30.4293,-90.1997,2017-10-17T23:00,33,1
38.656449,-90.198548,2017-10-17T23:00,35,1
35.1967,-90.1911,2017-10-17T23:00,37,1
32.329111,-90.182722,2017-10-17T23:00,35,1
41.875,-90.177498,2017-10-17T23:00,35,1
38.611893,-90.160614,2017-10-17T23:00,33,1
38.890301,-90.148102,2017-10-17T23:00,5,1
38.8606,-90.1058,2017-10-17T23:00,33,1
35.2175,-90.0194,2017-10-17T23:00,35,1
34.8275,-89.9889,2017-10-17T23:00,35,1
38.7267,-89.959198,2017-10-17T23:00,42,1
29.940001,-89.919998,2017-10-17T23:00,42,1
35.151588,-89.85022,2017-10-17T23:00,38,1
35.3772,-89.8319,2017-10-17T23:00,36,1
39.3961,-89.8094,2017-10-17T23:00,36,1
38.1761,-89.7883,2017-10-17T23:00,35,1
37.70264,-89.69864,2017-10-17T23:00,39,1
39.831524,-89.640923,2017-10-17T23:00,39,1
40.6869,-89.6072,2017-10-17T23:00,39,1
40.745,-89.5861,2017-10-17T23:00,40,1
30.3008,-89.395798,2017-10-17T23:00,44,1
43.1008,-89.3572,2017-10-17T23:00,39,1
30.39,-89.0497,2017-10-17T23:00,43,1
42.335,-89.0381,2017-10-17T23:00,38,1
40.5169,-88.9975,2017-10-17T23:00,40,1
39.8669,-88.9256,2017-10-17T23:00,36,1
43.0034,-88.8283,2017-10-17T23:00,40,1
34.2633,-88.7597,2017-10-17T23:00,34,1
32.3644,-88.7314,2017-10-17T23:00,35,1
38.088902,-88.625,2017-10-17T23:00,38,1
43.46611,-88.621109,2017-10-17T23:00,40,1
30.377501,-88.533897,2017-10-17T23:00,35,1
42.58,-88.4992,2017-10-17T23:00,42,1
43.6878,-88.4219,2017-10-17T23:00,38,1
32.36253,-88.27792,2017-10-17T23:00,32,1
42.0494,-88.2731,2017-10-17T23:00,36,1
42.2211,-88.2411,2017-10-17T23:00,37,1
43.0203,-88.215,2017-10-17T23:00,39,1
41.2222,-88.1906,2017-10-17T23:00,42,1
40.244953,-88.188179,2017-10-17T23:00,39,1
30.7697,-88.0875,2017-10-17T23:00,33,1
41.8131,-88.0728,2017-10-17T23:00,35,1
41.6681,-87.9906,2017-10-17T23:00,37,1
43.0178,-87.9333,2017-10-17T23:00,38,1
43.3431,-87.9208,2017-10-17T23:00,38,1
43.0611,-87.9125,2017-10-17T23:00,36,1
43.1811,-87.9006,2017-10-17T23:00,38,1
42.596,-87.886,2017-10-17T23:00,40,1
41.965,-87.8761,2017-10-17T23:00,27,1
30.4889,-87.8706,2017-10-17T23:00,32,1
42.0603,-87.8631,2017-10-17T23:00,34,1
42.5047,-87.8111,2017-10-17T23:00,42,1
42.4669,-87.8103,2017-10-17T23:00,39,1
42.1406,-87.7994,2017-10-17T23:00,37,1
43.81523,-87.79194,2017-10-17T23:00,38,1
41.855301,-87.752502,2017-10-17T23:00,32,1
41.6708,-87.7325,2017-10-17T23:00,36,1
38.0053,-87.7183,2017-10-17T23:00,39,1
41.7547,-87.7136,2017-10-17T23:00,38,1
42.0622,-87.6736,2017-10-17T23:00,36,1
39.210883,-87.668416,2017-10-17T23:00,39,1
38.0133,-87.5772,2017-10-17T23:00,35,1
41.755798,-87.545303,2017-10-17T23:00,35,1
38.1139,-87.5369,2017-10-17T23:00,33,1
41.6394,-87.4936,2017-10-17T23:00,32,1
37.8714,-87.4633,2017-10-17T23:00,38,1
33.0894,-87.4597,2017-10-17T23:00,37,1
39.4861,-87.4014,2017-10-17T23:00,39,1
38.1944,-87.3414,2017-10-17T23:00,28,1
39.5642,-87.3253,2017-10-17T23:00,39,1
41.6067,-87.3047,2017-10-17T23:00,34,1
37.9536,-87.29,2017-10-17T23:00,36,1
38.0519,-87.2783,2017-10-17T23:00,38,1
30.3681,-87.2708,2017-10-17T23:00,48,1
30.525,-87.204399,2017-10-17T23:00,48,1
41.6175,-87.1992,2017-10-17T23:00,36,1
35.9514,-87.1375,2017-10-17T23:00,39,1
37.7808,-87.0756,2017-10-17T23:00,35,1
41.5114,-87.0353,2017-10-17T23:00,37,1
33.3311,-87.0036,2017-10-17T23:00,32,1
38.9856,-86.99,2017-10-17T23:00,40,1
33.8017,-86.9425,2017-10-17T23:00,35,1
33.4856,-86.915,2017-10-17T23:00,37,1
41.7169,-86.9075,2017-10-17T23:00,35,1
33.3169,-86.825,2017-10-17T23:00,39,1
33.3864,-86.8167,2017-10-17T23:00,33,1
33.5531,-86.815,2017-10-17T23:00,39,1
33.5783,-86.7739,2017-10-17T23:00,39,1
36.2047,-86.7444,2017-10-17T23:00,33,1
41.6292,-86.6847,2017-10-17T23:00,36,1
36.2975,-86.6525,2017-10-17T23:00,35,1
36.1506,-86.6211,2017-10-17T23:00,34,1
38.1131,-86.6036,2017-10-17T23:00,37,1
34.6917,-86.591698,2017-10-17T23:00,38,1
33.5453,-86.5492,2017-10-17T23:00,38,1
